"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CDC20",2.81607362474817,8.71083195652174,22.6705626443068,5.47034037658916e-77,5.41824189681212e-75,164.768521315404
"PRKX",2.19403470454721,9.05204,22.6542651971463,6.51659312389848e-77,6.41633784506927e-75,164.594029020694
"GFRA3",4.04669566448193,2.58424586956522,22.6350296854961,8.0118560371496e-77,7.84219320342173e-75,164.388070452691
"C20orf26",-3.06102737497132,3.74656695652174,-22.6005247334332,1.16057080160703e-76,1.12935076834743e-74,164.018594259792
"C15orf42",2.44115710897454,6.81008304347826,22.5759847211699,1.51056635941935e-76,1.46138512911267e-74,163.755802979453
"FAM171A1",2.4488081329219,8.58413717391304,22.5697129034518,1.61583167292711e-76,1.55418722760157e-74,163.688637582762
"ZNF695",3.01275335237563,5.0415502173913,22.5593526103536,1.80603016301821e-76,1.72714608693235e-74,163.577686196567
"MCCC2",-1.89980188212492,11.8096547826087,-22.5292145496291,2.49643510866105e-76,2.37375315474971e-74,163.254913702508
"NCAPD2",1.38927592002245,10.7228832608696,22.527400751638,2.5455523827763e-76,2.40670407098851e-74,163.235487579239
"GPD1L",-1.88613914462779,10.4981695652174,-22.4696383527108,4.73450190187486e-76,4.45096675972868e-74,162.616799755202
"PTPRT",-5.57535281171104,8.44121456521739,-22.4427124319381,6.32280568026525e-76,5.91075766964122e-74,162.328371827485
"CKS1B",1.46772482721686,9.59471434782609,22.4334410484191,6.98508229368716e-76,6.49339493670136e-74,162.229053798171
"ATP7B",-2.55222714034329,8.4895147826087,-22.4236908302902,7.75654754534722e-76,7.17049728636543e-74,162.124604244698
"KCNK5",3.39343316926375,7.1614347826087,22.4176079414283,8.28043592380694e-76,7.6125112581297e-74,162.059440005093
"GAMT",-2.78149290760248,8.35505826086957,-22.3967166243349,1.03643400202901e-75,9.4759680185509e-74,161.835631085404
"NUDT12",-2.0926466986305,8.69744543478261,-22.3555959609305,1.6122846518429e-75,1.46603369435333e-73,161.395077275944
"C9orf40",1.49261882124915,6.71491260869565,22.3545395314625,1.63069232385601e-75,1.47471305809587e-73,161.383758550138
"CCDC48",-3.15848120170362,5.75987130434783,-22.344843467831,1.80977084016456e-75,1.6278155016399e-73,161.279872544624
"INPP5J",-3.12702088954632,8.31894282608696,-22.3305514784489,2.11021117634553e-75,1.88784483733278e-73,161.126741106545
"FAM114A2",-1.07330757695545,8.89495608695652,-22.3281197203508,2.16608449784988e-75,1.92746770289957e-73,161.100685630243
"AMY1A",4.20005209762569,2.64670956521739,22.3217311275351,2.32002369587156e-75,2.05346778187781e-73,161.032233415839
"SEPHS1",1.05037845502538,10.3125147826087,22.3086983073461,2.6688287854857e-75,2.3496989942054e-73,160.892587361778
"ATP8B1",-1.81314379893398,10.7414163043478,-22.2739557842652,3.87688002313742e-75,3.39533071500035e-73,160.520306365587
"P4HTM",-1.87053610721482,9.23354369565217,-22.2412647859916,5.50906511000987e-75,4.79952059845886e-73,160.169987036781
"DKC1",1.05600552651043,10.6722567391304,22.2014442494813,8.45210188383745e-75,7.28720079518421e-73,159.74324019078
"KCNQ4",3.21562074672925,2.81561586956522,22.1860831692894,9.96954610728935e-75,8.5511983105822e-73,159.578611678345
"PREX1",-2.58951333299331,11.4660654347826,-22.1801650157295,1.06243849664921e-74,9.06614183807323e-73,159.515184252312
"DONSON",1.41948878375967,8.0088002173913,22.1681901298887,1.20839353113222e-74,1.01637678933395e-72,159.386842338241
"TSC22D3",-1.72718368059984,11.4111176086957,-22.1681134001579,1.20939065076996e-74,1.01637678933395e-72,159.386019972522
"CASC1",-3.01518466501749,5.08570065217391,-22.1252468966786,1.9173312897537e-74,1.60323581213576e-72,158.926574484862
"CDC123",1.0615267782,10.2172510869565,22.0642333066186,3.69465248645792e-74,3.07395086873299e-72,158.272576679194
"STMN1",1.86007321669941,11.6200710869565,22.0529357132977,4.17182016854173e-74,3.45368595047435e-72,158.151472825567
"SKP2",1.64962129504477,7.30586043478261,22.0497949942977,4.31509860528766e-74,3.55461588079142e-72,158.117805749118
"CPEB2",-1.89463898140829,9.60568847826087,-22.0476207152795,4.41716123016968e-74,3.62076664384352e-72,158.094498384647
"SYT9",-5.42890423350594,5.61154847826087,-22.0430235205459,4.64097667685204e-74,3.78558097562833e-72,158.04521814823
"TMBIM4",-1.32855501007371,10.6616315217391,-22.0371861051089,4.94159104822555e-74,4.01112561182796e-72,157.982642763122
"CRIP1",-3.09222299354775,11.4792143478261,-22.0351716890585,5.04978667025427e-74,4.07905098024423e-72,157.961048699316
"TCAM1P",3.97009782459005,2.23903347826087,22.0244742759478,5.66532174918015e-74,4.55415236262598e-72,157.84637399499
"CDC25A",2.39014164137616,6.69400804347826,22.0075431490406,6.79650919705675e-74,5.4372073576454e-72,157.664871520905
"WNT6",3.4184879906149,2.86151260869565,22.0039357535651,7.06530925602642e-74,5.62520315886505e-72,157.626199562814
"RIOK1",1.10669518247431,9.01897043478261,21.9875657110188,8.42508914595363e-74,6.67588016136516e-72,157.450707421929
"UCK2",1.4149394685165,8.86330543478261,21.9794930082095,9.18908490798483e-74,7.24674752933022e-72,157.364164131009
"LRIG1",-1.72530461350133,11.750892173913,-21.9461756717302,1.31480379772274e-73,1.03199694311823e-71,157.006977247
"MAN2B2",-1.16157253066742,10.5978836956522,-21.9213701647126,1.71673894789349e-73,1.34115192924637e-71,156.741034642116
"FAM64A",2.59665661676572,6.27207347826087,21.9140796703726,1.85674373506985e-73,1.44374839960572e-71,156.662871046419
"LRRC46",-2.94327112799981,5.84749,-21.9101091404404,1.93773800948521e-73,1.49971909199228e-71,156.620301533272
"PIF1",2.45615085052665,4.56797608695652,21.8974881035412,2.21941297999335e-73,1.70976999940229e-71,156.484985549063
"BBS4",-1.31761834434216,8.67685934782609,-21.8910579184482,2.37831205641747e-73,1.82373790869985e-71,156.416043863031
"AURKB",2.80939738593763,6.93883630434783,21.8318228392017,4.49699378308645e-73,3.432567731677e-71,155.78092988734
"RALGPS2",-2.6325456249522,9.82150108695652,-21.7990866796406,6.39471507142897e-73,4.85881546979809e-71,155.429920234449
"GTPBP4",1.19351357782256,10.4007145652174,21.7806156341075,7.80000448606709e-73,5.89963975673438e-71,155.231862257779
